workerId	retainerRateDollars	retainerMillis	postTime	startTime
A364YTD6GZ5FA	0.15000	600000	2016-11-30 09:59:57	2016-11-30 10:02:44
A1OBB3PWYWK9KK	0.50000	600000	2016-12-11 07:02:47	2016-12-11 07:04:23
A3POLV08XTYAMD	0.50000	600000	2016-12-13 09:44:09	2016-12-13 09:52:34
AXLMOFXKXSU0B	0.50000	600000	2016-12-15 08:49:31	2016-12-15 08:50:00
A2EOOF9D135HQ1	0.50000	600000	2017-02-05 22:41:38	2017-02-05 22:42:43
A1KEA2Z47S3UPI	0.50000	600000	2017-02-08 06:58:09	2017-02-08 07:00:42
A2EOOF9D135HQ1	0.50000	600000	2017-03-06 17:43:27	2017-03-06 17:47:51
A3SX229VS1X6B6	0.50000	600000	2017-03-14 23:20:18	2017-03-14 23:27:52
A2EOOF9D135HQ1	0.50000	600000	2017-03-21 03:04:09	2017-03-21 03:04:20
A13XXMDHOULEZ7	0.50000	600000	2017-03-22 12:19:48	2017-03-22 12:23:33
AXLMOFXKXSU0B	0.50000	600000	2017-02-04 07:20:03	2017-02-04 07:20:29
A3D2SUT0WZXWH2	0.50000	600000	2017-02-07 21:49:09	2017-02-07 21:51:06
A3EJ44J2ZNRMDA	0.50000	600000	2017-02-07 05:36:29	2017-02-07 05:43:03
A3PPRVK6XK6GP5	0.50000	600000	2017-02-11 03:40:26	2017-02-11 03:42:06
AAWX7QFQUNM6D	0.50000	600000	2017-03-06 09:47:07	2017-03-06 09:55:36
A2TY9UFU76QU6K	0.50000	600000	2017-03-15 10:42:38	2017-03-15 10:59:43
AAWX7QFQUNM6D	0.50000	600000	2017-03-16 13:20:18	2017-03-16 13:28:46
A13XXMDHOULEZ7	0.50000	600000	2017-03-23 13:14:18	2017-03-23 13:15:22
A3ENNVSWZIXWDG	0.50000	600000	2017-03-24 08:28:18	2017-03-24 08:30:14
A2U83S62P8SZ6T	0.15000	600000	2016-12-01 21:31:21	2016-12-01 21:32:04
A3POLV08XTYAMD	0.50000	600000	2016-12-13 19:45:10	2016-12-13 19:45:30
A3D2SUT0WZXWH2	0.50000	600000	2016-12-14 11:40:20	2016-12-14 11:40:57
